Date,Open,High,Low,Close,Volume
10/07/2022,"125.05","126.70","120.22","120.76","67,247,820"
10/06/2022,"132.20","136.56","131.03","131.30","64,415,688"
10/05/2022,"129.11","133.21","126.21","132.09","50,713,070"
10/04/2022,"128.79","132.20","128.79","131.67","58,418,168"
10/03/2022,"123.47","126.78","121.05","125.12","54,747,848"
09/30/2022,"120.87","126.33","120.75","121.39","56,563,840"
09/29/2022,"124.48","125.00","119.46","122.20","53,276,312"
09/28/2022,"124.10","128.23","123.54","127.36","54,241,391"
09/27/2022,"125.07","127.36","122.58","124.13","55,385,406"
09/26/2022,"124.91","126.59","122.14","122.28","54,734,273"
09/23/2022,"124.20","126.11","122.57","125.16","66,330,930"
09/22/2022,"130.70","131.49","124.28","125.61","75,916,227"
09/21/2022,"132.13","140.31","131.10","132.61","80,767,938"
09/20/2022,"132.15","134.83","130.57","131.76","52,481,781"
09/19/2022,"130.12","134.63","130.10","133.82","56,968,527"
09/16/2022,"127.42","132.12","126.17","131.98","67,075,141"
09/15/2022,"130.15","132.33","127.90","129.29","52,362,520"
09/14/2022,"132.54","132.90","129.13","131.28","58,850,648"
09/13/2022,"138.02","139.22","130.99","131.31","71,495,562"
09/12/2022,"143.69","145.47","141.98","145.05","48,415,922"
09/09/2022,"141.57","144.74","141.26","143.87","48,712,840"
09/08/2022,"134.59","140.08","133.69","139.90","62,487,312"
09/07/2022,"135.63","138.38","133.46","137.14","51,265,754"
09/06/2022,"137.31","137.79","133.51","134.65","53,575,121"
09/02/2022,"141.00","141.71","135.91","136.47","74,315,750"
09/01/2022,"142.09","143.80","132.70","139.37","117,886,492"
08/31/2022,"153.84","155.40","149.59","150.94","57,370,992"
08/30/2022,"159.60","160.39","151.82","154.68","53,018,070"
08/29/2022,"160.20","163.38","157.67","158.01","49,613,191"
08/26/2022,"178.57","179.24","162.37","162.60","76,912,734"
08/25/2022,"168.44","179.47","168.33","179.13","77,069,125"
08/24/2022,"170.12","174.06","168.95","172.22","52,266,070"
08/23/2022,"169.89","174.65","169.70","171.81","36,998,578"
08/22/2022,"174.90","175.58","169.66","170.34","40,959,273"
08/19/2022,"184.06","185.20","177.70","178.49","44,158,832"
08/18/2022,"183.01","188.65","181.83","187.73","41,544,660"
08/17/2022,"185.23","186.88","181.45","183.35","44,679,910"
08/16/2022,"189.20","191.42","185.01","188.79","45,123,961"
08/15/2022,"187.01","191.64","186.13","190.32","45,766,559"
08/12/2022,"181.60","187.18","179.53","187.09","47,809,422"
08/11/2022,"181.31","187.07","178.76","179.42","50,932,660"
08/10/2022,"176.98","181.18","173.17","180.97","59,742,246"
08/09/2022,"172.52","174.47","167.24","170.86","66,826,273"
08/08/2022,"175.02","182.39","172.42","177.93","98,378,320"
08/05/2022,"188.10","192.29","186.66","189.89","38,606,832"
08/04/2022,"188.49","192.74","187.60","192.15","40,965,230"
08/03/2022,"181.84","189.68","181.37","188.93","41,814,559"
08/02/2022,"181.22","189.38","180.92","185.26","48,952,688"
08/01/2022,"181.82","188.46","179.90","184.41","47,646,898"
07/29/2022,"178.13","182.44","176.92","181.63","43,546,039"
07/28/2022,"179.75","181.40","174.40","179.84","47,464,633"
07/27/2022,"170.32","179.36","169.13","177.90","56,977,621"
07/26/2022,"168.89","169.19","164.78","165.33","39,786,488"
07/25/2022,"170.19","171.24","166.49","170.24","48,074,754"
07/22/2022,"178.93","179.67","171.37","173.19","53,667,090"
07/21/2022,"178.85","181.44","175.45","180.50","55,704,930"
07/20/2022,"169.47","179.33","168.01","178.07","76,053,773"
07/19/2022,"164.86","171.10","161.72","169.92","70,236,609"
07/18/2022,"163.02","168.97","160.02","161.01","67,051,750"
07/15/2022,"156.59","157.82","154.45","157.62","38,593,551"
07/14/2022,"151.08","154.73","147.28","153.72","45,623,480"
07/13/2022,"145.90","153.75","144.65","151.64","52,191,832"
07/12/2022,"152.68","154.31","148.77","150.82","45,848,312"
07/11/2022,"155.26","155.27","150.38","151.52","43,838,871"
07/08/2022,"154.30","160.37","153.89","158.38","46,797,180"
07/07/2022,"154.56","159.45","153.89","158.58","49,290,281"
07/06/2022,"150.10","153.19","147.89","151.30","52,906,594"
07/05/2022,"141.75","149.71","140.55","149.64","65,220,762"
07/01/2022,"148.99","150.63","143.92","145.23","57,761,008"
06/30/2022,"153.61","155.67","148.62","151.59","68,607,000"
06/29/2022,"158.14","158.20","151.70","155.42","48,235,230"
06/28/2022,"169.00","172.02","159.45","159.82","46,185,941"
06/27/2022,"173.12","173.30","166.26","168.69","42,796,793"
06/24/2022,"165.00","171.40","163.10","171.26","47,215,281"
06/23/2022,"165.19","165.85","158.53","162.25","46,367,961"
06/22/2022,"162.26","166.62","161.80","163.60","43,799,738"
06/21/2022,"164.75","170.08","164.07","165.66","48,308,887"
06/17/2022,"156.48","159.95","153.28","158.80","63,033,398"
06/16/2022,"158.60","159.42","154.01","156.01","54,574,871"
06/15/2022,"160.95","168.68","159.26","165.27","56,393,566"
06/14/2022,"157.31","160.66","154.12","158.36","46,967,953"
06/13/2022,"160.00","163.12","156.06","156.47","60,415,340"
06/10/2022,"176.00","176.97","168.69","169.74","46,564,969"
06/09/2022,"184.81","189.33","180.41","180.48","39,557,379"
06/08/2022,"187.99","191.80","185.35","186.48","36,325,246"
06/07/2022,"184.72","190.00","181.88","189.26","38,891,406"
06/06/2022,"191.39","193.37","185.64","187.86","42,240,621"
06/03/2022,"190.82","193.32","185.22","187.20","59,877,871"
06/02/2022,"182.92","196.19","181.98","195.92","64,865,578"
06/01/2022,"187.24","190.53","181.22","183.20","54,451,391"
05/31/2022,"189.80","192.00","183.50","186.72","66,409,953"
